Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors
Stage,Regional OTT Platform,Indore,Rs 84.6 crore (~$10 million),Series B,"Goodwater Capital, Blume Ventures"
DCDC Kidney Care,Healthcare,New Delhi,Rs 82 crore (~$10 million),Strategic Investment,British International Investment (BII)
FirstClub,Quick Commerce,Bengaluru,$8 million,Funding Round,"Accel, RTP Global, Blume Founders Fund, Quiet Capital, 2am VC, angel investors"
FinX,Skilling Platform,Mumbai,$6 million,Funding Round,Elevar Equity
Culture Circle,Sneakers & Streetwear,Gurugram,$2 million,Seed Round,"Info Edge Ventures, angel investors"
Superfone,SMB CRM App,Bengaluru,$1.9 million (~Rs 15.8 crore),Pre-Series A,"YourNest Venture Capital, Ankur Capital, Finsight Seed Fund, angel investors"
Infinity,Business Banking,Bengaluru,$1.9 million (~Rs 16 crore),Equity Funding,"Y Combinator, Liquid 2 Ventures, Script Capital, angel investors"
Sustainiam,Climate Tech,Bengaluru,$1.45 million (~Rs 12.14 crore),Maiden Funding Round,"Orios Venture Partners, Shilpa Shetty Kundra, Rajesh Sawhney, Harsh Vardhan Bhagchandka, Vinit Bhansali"
Navanc,Fintech,Bengaluru,$1 million,Seed Round,"Prarambh Ventures, Inflection Point Ventures (IPV), Brigade REAP, angel investors"
Kreedo Early Childhood Solutions,Edtech,Bengaluru,Rs 10 crore (~$1.2 million),Debt Funding,Recur Club
Power Gummies,D2C Gummies,New Delhi,Rs 10 crore (~$1.2 million),Bridge Round,"Jaipuria Family Office, Quadrant, 100unicorn, DSGCP, Wipro Consumer, Venture Catalysts, others"
SaveSage Club,Credit Card Management,Gurugram,"Rs 2.5 crore (~$300,000)",Angel Funding,"iSEED, Alluvium Fund, LetsVenture Fund, angel investors"
Nodwin Gaming,Gaming and Entertainment,Gurugram,Rs 64 crore,Convertible Preferred Stock,Nazara Technologies
Atmosphere The Store Makers,Retail,Mumbai,Rs 5 crore,Seed,Artha Venture Fund and PIL Italica Lifestyle Limited
Neuranics,HealthTech,New Delhi,$700K,Seed,Inflection Point Ventures (IPV)
Annapurna Finance,Financial Services,Bhubaneswar,$109.5 million,Multilateral ECB Transaction,-
The Money Club,FinTech,Noida,$2.5 million,Series A,Prudent Investment Managers
Terractive,AgriTech,Mumbai,Rs 8 crore,Pre-Series A,Fireside Ventures and DeVC (anchored by Z47)
Medial,Media and Entertainment,Bengaluru,$500K,Pre-Series A,Ortella Global Capital (OG Capital)
Ultraviolette,EV Manufacturing,Bengaluru,Rs 130 crore,-,"Zoho Corporation, Lingotto Co-Invest Fund I, Mudhal Partners, others"
The Indus Valley,D2C Kitchenware,Chennai,Rs 23.1 crore,Pre-Series A,DSG Consumer Partners
Enterpret,SaaS,India,$20.8 million,Series A,"Kleiner Perkins, Peak XV Partners, Wing Ventures, Recall Capital"
ZFunds,FinTech,Gurugram,Rs 25 crore,Seed,Elevation Capital
